gene	group	dataset_id	Subst_nigra	VTA	Caudoputamen	Nuc_accumbens	Isocortex	Hippocampus	Locus_coer	Dorsal_raphe
Snca	core	988	0.0	0.0	0.0	0.0	0.076	0.0	0.0	0.0
Slc18a2	core	968	7.0294	2.9947	0.0349	0.0452	0.0593	0.0732	0.8445	8.7178
Th	core	1058	2.3241	0.7077	0.336	0.9296	0.1672	0.2259	1.7844	1.0577
Gba	core	1612	0.0573	0.0387	0.0107	0.0168	0.0564	0.0539	0.0433	0.0185
Slc6a3	core	79761025	1.1497	2.7595	0.0763	0.0654	0.1046	0.1186	0.08	0.1584
Slc17a6	corelease	71724696	4.7116	6.4321	0.0818	0.2608	0.5617	1.1004	12.3082	3.5311
Slc17a7	corelease	69014470	0.4281	1.2582	4.2058	14.8471	30.5197	26.327	0.3135	0.0
Sncb	synuclein	100144408	17.5645	21.1604	11.4029	15.6374	27.6244	23.7244	21.7848	28.2191
Sncg	synuclein	68545693	14.283	10.3379	1.4977	1.0177	3.7224	5.2613	17.2291	0.0
Pcsk1	dcv	2471	1.1996	1.0141	0.1499	0.3749	1.5133	0.6778	1.2514	2.9447
Cpe	dcv	1692	17.8298	17.6417	16.868	18.4528	22.4489	20.8481	18.6916	18.7362
